word,frequency
(,350142
.,1806370
"""",1127831
),356565
",",2598334
:,91792
3,9782
«,69
»,105
;,88090
802.11i,9
128,309
48,905
-,404713
60,2815
2004,5930
/,21400
1,17964
2,12497
2018,5978
192,92
23,3502
1860,622
–,30893
24,4367
1925,1139
1882,490
1889,640
1897,691
1920,1643
1921,1104
1923,1185
1512,109
25,5649
1580,100
1535,73
1548,43
1550,138
1553,92
“,2946
”,3044
1565,92
1567,67
1575,59
500,2242
300,1851
16,5099
17,4339
18,5100
1808,272
19,3603
—,21514
65,1283
000,158
1803,361
1766,113
2014,6920
1869,552
11,5834
1938,1631
1890,689
1909,785
1893,623
1907,833
1933,1531
15,7177
10,11035
1813,268
1806,281
1800,561
1810,269
1819,332
1818,310
1814,405
1816,292
1812,496
374,29
600,952
6,6452
70,2057
14,5053
1817,256
1765,125
1784,213
1789,382
1802,262
1815,514
12,6778
[,12281
...,10559
],12140
¡,25
!,5017
54,612
9,4646
1798,315
1792,334
1740,131
1762,154
20,8233
1767,141
1773,148
1783,291
1787,225
1788,227
1794,285
1999,5027
1795,309
1985,2830
1998,4525
7,5578
8,5662
2008,8135
1954,1584
1986,3022
204,83
2001,5700
2005,6944
1973,2512
239,38
1975,2829
1977,2349
1979,2943
9632,1
26,3262
2012,7640
2013,7117
2017,6346
90,2164
1011,30
&,5734
575,30
1253,29
1238,27
1365,29
1957,1672
150,1267
1997,4334
230,157
2002,5017
91,314
%,47546
4,8221
32,1371
576,31
30%,595
2003,5296
31,2720
2000,6438
1935,1295
1960,2394
1967,2552
2010,8927
2016,6749
2011,8372
33,980
2007,8042
1970,2827
1963,2178
22,3689
1976,2593
0,2863
30,6636
44,840
74,375
',63452
’,1538
13,4804
2006,7489
2009,7875
50,4786
2015,6909
5,8425
37,862
2019,5455
1981,2574
1945,2709
21,3972
5%,512
1250,80
1918,1630
1549,119
1598,122
1568,84
1572,99
1592,89
110,364
200,2710
1594,47
140,352
1614,70
1502-Chile,1
1590,69
1554,51
1564,63
1599,68
40,3689
80,2265
100,6006
28,3447
130,402
1603,184
1604,143
*,1798
1540,109
†,43
1606,91
1600,360
1559,119
1560,102
1582,82
191,77
45,1441
700,652
400,1419
..,526
1990,3974
1961,2056
1969,2538
1993,3671
1994,3940
1995,3904
•,178
50%,914
80%,656
20%,704
/-,7
59,423
41,740
10%,842
15%,400
36,984
"99,97%",1
"0,03%",8
1914,1382
1987,2847
1980,2971
25%,475
#,2191
660,61
40%,603
‘,854
1694,73
¿,6
?,4091
1949,1871
1077,15
"0,25%",7
065,2
"0,33%",6
900,469
"76,7%",2
2966,2
1417,28
1166,19
386,81
155,129
144,132
855,28
2543,1
954,15
2266,1
792,22
425,78
654,24
460,109
415,47
038,1
2396,7
4824,3
145,142
1027,15
29,2905
1991,3912
1992,3845
"25,7%",4
"56,2%",5
"62,1%",5
92,383
1996,4082
122,138
101,283
73,407
64,1403
99%,122
1971,2560
1959,1812
85%,231
1983,2726
1946,1748
1877,426
1896,779
1900,1274
1906,880
1917,1497
1929,1340
1930,1436
27,3256
1932,1258
1934,1357
1936,1518
1939,2227
1941,2092
1927,1118
1910,1033
1912,1159
1948,2148
1902,750
1901,856
1928,1174
1962,2179
1943,1724
1944,2013
1947,1860
1940,2076
1942,1931
1972,2605
1988,2833
34,900
1956,1856
1978,2544
1937,1512
1952,1533
1958,1844
2020,3280
…,872
1968,2692
53,504
75,1242
1989,3496
1950,1825
2099,27
1400,203
179,74
59%,38
19%,113
216,62
547,20
872,28
1100,173
1083,10
1303,34
1456,42
1018,33
668,22
173,58
165,127
1690,125
1982,2707
35,1637
595,32
921,8
1862,567
1832,369
1848,680
1830,493
1829,281
1834,369
1845,394
1849,420
1856,427
1859,504
1841,361
1846,491
1888,625
1828,288
1861,678
1872,490
932,13
1895,737
3000,411
72,563
181,68
135,191
"6,48%",3
228,52
1887,558
1822,286
1858,434
1878,571
1870,689
1894,595
1922,1266
1758,138
1000,1133
63,476
650,196
250,813
245,59
208,76
195,71
1881,564
1884,549
550,185
2530,1
4600,5
43,726
8848,1
2580,3
2168,4
142,107
5875,2
1880,576
4500,49
1704,102
78,409
139,83
95,921
99,482
103,215
111,146
108,205
129,127
320,157
123,127
132,135
1951,1412
1974,2589
42,837
1953,1714
1955,1611
1609,137
1811,243
1837,375
6427,1
1891,567
1931,1157
275,74
182,88
1371,32
644,14
1919,1388
1500,555
1659,100
990,31
941,9
1028,14
1020,28
1111,32
1172,13
1212,39
90%,614
100%,463
98%,119
1913,1014
66,656
1790,283
1793,363
2921,2
2785,1
2910,5
226,46
