word,probability
(,0.04429628776861919
.,0.2285229573618722
"""",0.14268133080398682
),0.04510885825812871
",",0.328713923445309
:,0.011612559609692905
3,0.001237515884848527
«,8.729155188565566e-06
»,1.3283497026078035e-05
;,0.01114422145740204
802.11i,1.1385854593781173e-06
128,3.9091434105315356e-05
48,0.00011449109341524402
-,0.05120003744681066
60,0.0003561242297943778
2004,0.0007502013082346928
/,0.00270730320341019
1,0.002272616576918722
2,0.001580989165094259
2018,0.0007562737640180427
192,1.1638873584754088e-05
23,0.0004430362531935741
1860,7.868890619257655e-05
–,0.003908257844063131
24,0.0005524669667893598
1925,0.00014409431535907506
1882,6.198965278836417e-05
1889,8.096607711133278e-05
1897,8.741806138114212e-05
1920,0.00020785510108424962
1921,0.00013966648301704906
1923,0.0001499137521514521
1512,1.3789535008023865e-05
25,0.0007146521400029983
1580,1.2650949548645747e-05
1535,9.235193170511395e-06
1548,5.439908305917671e-06
1550,1.7458310377131133e-05
1553,1.1638873584754088e-05
“,0.0003726969737031037
”,0.00038509490426077655
1565,1.1638873584754088e-05
1567,8.476136197592651e-06
1575,7.464060233700991e-06
500,0.0002836342888806377
300,0.0002341690761454328
16,0.0006450719174854467
17,0.000548924700915739
18,0.0006451984269809331
1808,3.441058277231643e-05
19,0.00045581371223770627
—,0.002721725285895646
65,0.00016231168270912494
000,1.998850028686028e-05
1803,4.566992787061115e-05
1766,1.4295572989969695e-05
2014,0.0008754457087662858
1869,6.983324150852453e-05
11,0.0007380563966679929
1938,0.00020633698713841213
1890,8.71650423901692e-05
1909,9.930995395686911e-05
1893,7.8815415688063e-05
1907,0.00010538240974021908
1933,0.00019368603758976638
15,0.0009079586491063053
10,0.0013960322826930582
1813,3.3904544790370604e-05
1806,3.554916823169455e-05
1800,7.097182696790264e-05
1810,3.403105428585706e-05
1819,4.2001152501503884e-05
1818,3.921794360080182e-05
1814,5.123634567201528e-05
1816,3.694077268204558e-05
1812,6.274870976128291e-05
374,3.668775369107267e-06
600,0.00012043703970310751
6,0.0008162392648786237
70,0.00026023003221564304
14,0.0006392524806930696
1817,3.238643084453312e-05
1765,1.5813686935807183e-05
1784,2.694652253861544e-05
1789,4.832662727582676e-05
1802,3.314548781745186e-05
1815,6.502588068003914e-05
12,0.0008574813604072087
[,0.0015536631140691843
...,0.0013358137628415045
],0.0015358252752055938
¡,3.162737387161437e-06
!,0.0006346981388555571
54,7.742381123771197e-05
9,0.0005877631160300814
1798,3.985049107823411e-05
1792,4.2254171492476794e-05
1740,1.657274390872593e-05
1762,1.948246230491445e-05
20,0.0010415526763400045
1767,1.7837838863590505e-05
1773,1.8723405331995707e-05
1783,3.6814263186559125e-05
1787,2.8464636484452932e-05
1788,2.8717655475425846e-05
1794,3.605520621364038e-05
1999,0.0006359632338104217
1795,3.9091434105315356e-05
1985,0.00035802187222667465
1998,0.0005724554670762201
7,0.0007056699658234598
8,0.0007162967634443222
2008,0.0010291547457823315
1954,0.00020039104085054865
1986,0.0003823116953600745
204,1.0500288125375971e-05
2001,0.0007211041242728076
2005,0.0008784819366579607
1973,0.00031779185266198116
239,4.807360828485384e-06
1975,0.0003578953627311882
1977,0.0002971708048976886
1979,0.00037231744521664436
9632,1.265094954864575e-07
26,0.00041267397427682427
2012,0.0009665325455165351
2013,0.0009003680793771179
2017,0.0008028292583570592
90,0.000273766548232694
1011,3.7952848645937244e-06
&,0.0007254054471193471
575,3.7952848645937244e-06
1253,3.668775369107267e-06
1238,3.4157563781343516e-06
1365,3.668775369107267e-06
1957,0.00021152387645335689
150,0.00016028753078134163
1997,0.0005482921534383067
230,1.9861990791373823e-05
2002,0.0006346981388555571
91,3.9723981582747645e-05
%,0.006015020472399107
4,0.0010400345623941668
32,0.0001734445183119332
576,3.921794360080182e-06
30%,7.527314981444219e-05
2003,0.0006699942880962787
31,0.00034410582772316436
2000,0.0008144681319418132
1935,0.00016382979665496242
1960,0.00030286373219457917
1967,0.00032285223248143947
2010,0.001129350266207606
2016,0.0008538125850381015
2011,0.001059137496212622
33,0.00012397930557672834
2007,0.001017389362702091
1970,0.0003576423437402153
1963,0.0002755376811695044
22,0.00046669352884954165
1976,0.00032803912179638425
0,0.00036219668557772774
30,0.0008395170120481318
44,0.00010626797620862428
74,4.744106080742155e-05
',0.0080272805076067
’,0.00019457160405817158
13,0.0006077516163169417
2006,0.0009474296116980801
2009,0.0009962622769558527
50,0.0006054744453981855
2015,0.0008740541043159347
5,0.0010658424994734043
37,0.00010905118510932634
2019,0.0006901092978786256
1981,0.00032563544138214157
1945,0.0003427142232728133
21,0.0005024957160722091
5%,6.477286168906623e-05
1250,1.0120759638916597e-05
1918,0.0002062104776429257
1549,1.505462996288844e-05
1598,1.543415844934781e-05
1568,1.0626797620862428e-05
1572,1.252444005315929e-05
1592,1.1259345098294715e-05
110,4.604945635707052e-05
200,0.0003428407327682998
1594,5.945946287863501e-06
140,4.453134241123303e-05
1614,8.855664684052023e-06
1502-Chile,1.265094954864575e-07
1590,8.729155188565566e-06
1554,6.451984269809331e-06
1564,7.97009821564682e-06
1599,8.602645693079108e-06
40,0.00046669352884954165
80,0.0002865440072768262
100,0.0007598160298916635
28,0.0004360782309418189
130,5.085681718555591e-05
1603,2.3277747169508177e-05
1604,1.8090857854563418e-05
*,0.00022746407288465055
1540,1.3789535008023865e-05
†,5.439908305917671e-06
1606,1.151236408926763e-05
1600,4.554341837512469e-05
1559,1.505462996288844e-05
1560,1.2903968539618663e-05
1582,1.0373778629889512e-05
191,9.741231152457225e-06
45,0.0001823001829959852
700,8.248419105717028e-05
400,0.00017951697409528315
..,6.654399462587663e-05
1990,0.000502748735063182
1961,0.0002601035227201566
1969,0.0003210810995446291
1993,0.0004644163579307854
1994,0.0004984474122166425
1995,0.00049389307037913
•,2.251869019658943e-05
50%,0.00011562967887462213
80%,8.29902290391161e-05
20%,8.906268482246606e-05
/-,8.855664684052023e-07
59,5.351351659077151e-05
41,9.361702665997853e-05
10%,0.0001065209951995972
15%,5.060379819458299e-05
36,0.00012448534355867416
"99,97%",1.265094954864575e-07
"0,03%",1.01207596389166e-06
1914,0.00017483612276228424
1987,0.0003601725336499444
1980,0.00037585971109026516
25%,6.00920103560673e-05
#,0.0002771823046108283
